commodity,part,estimate,actual,source
casting,RH steering knuckle,12.61,17,ai
forging,Stub axle PRCR002,25.57,30,ai
machining,25T servo horn,4.65,2.2,ai
injection_moulding,Front bumper,6.72,8.5,ai
